"chủ đề","tình huống","câu tiếng anh"
"Giao tiếp hàng ngày","Greetings & Small Talk","Hello, how are you today?"
"Giao tiếp hàng ngày","Greetings & Small Talk","Nice to meet you."
"Giao tiếp hàng ngày","Greetings & Small Talk","How’s your day going?"
"Giao tiếp hàng ngày","Greetings & Small Talk","What do you like to do in your free time?"
"Giao tiếp hàng ngày","Greetings & Small Talk","See you later!"
"Giao tiếp hàng ngày","Greetings & Small Talk","Good morning!"
"Giao tiếp hàng ngày","Greetings & Small Talk","Have a nice day!"
"Giao tiếp hàng ngày","Greetings & Small Talk","It's great to see you again."
"Giao tiếp hàng ngày","Greetings & Small Talk","How was your weekend?"
"Giao tiếp hàng ngày","Greetings & Small Talk","Take care!"
"Giao tiếp hàng ngày","Shopping","How much is this?"
"Giao tiếp hàng ngày","Shopping","Do you accept credit cards?"
"Giao tiếp hàng ngày","Shopping","Can I get a receipt, please?"
"Giao tiếp hàng ngày","Shopping","Is there a discount on this item?"
"Giao tiếp hàng ngày","Shopping","Do you have this in a larger size?"
"Giao tiếp hàng ngày","Shopping","Can I return this if it doesn’t fit?"
"Giao tiếp hàng ngày","Shopping","Is this on sale?"
"Giao tiếp hàng ngày","Shopping","Where can I find the fitting room?"
"Giao tiếp hàng ngày","Shopping","Do you have this in another color?"
"Giao tiếp hàng ngày","Shopping","Can I pay by cash?"
"Giao tiếp hàng ngày","Restaurant","Table for two, please."
"Giao tiếp hàng ngày","Restaurant","Could we see the menu?"
"Giao tiếp hàng ngày","Restaurant","What do you recommend?"
"Giao tiếp hàng ngày","Restaurant","I’m allergic to seafood."
"Giao tiếp hàng ngày","Restaurant","Could we have the bill, please?"
"Giao tiếp hàng ngày","Restaurant","Is service charge included?"
"Giao tiếp hàng ngày","Restaurant","The food was delicious."
"Giao tiếp hàng ngày","Restaurant","We’d like to make a reservation."
"Giao tiếp hàng ngày","Restaurant","Do you have any vegetarian options?"
"Giao tiếp hàng ngày","Restaurant","Could we sit by the window?"
"Công việc/Học thuật","Meetings","Shall we get started?"
"Công việc/Học thuật","Meetings","I’d like to add a quick point."
"Công việc/Học thuật","Meetings","Could you clarify the timeline?"
"Công việc/Học thuật","Meetings","Let’s summarize the action items."
"Công việc/Học thuật","Meetings","We’ll revisit this in the next meeting."
"Công việc/Học thuật","Meetings","Does anyone have any questions?"
"Công việc/Học thuật","Meetings","Thanks everyone for your input."
"Công việc/Học thuật","Meetings","Let’s stick to the agenda."
"Công việc/Học thuật","Meetings","Who will follow up on this task?"
"Công việc/Học thuật","Meetings","Please send the minutes after the meeting."
"Công việc/Học thuật","Email","I’m writing to inquire about your services."
"Công việc/Học thuật","Email","Please find the attached document."
"Công việc/Học thuật","Email","I look forward to hearing from you."
"Công việc/Học thuật","Email","Could you provide more details?"
"Công việc/Học thuật","Email","Thank you for your prompt response."
"Công việc/Học thuật","Email","Let me know if you need anything else."
"Công việc/Học thuật","Email","We appreciate your cooperation."
"Công việc/Học thuật","Email","Please confirm receipt of this email."
"Công việc/Học thuật","Email","Sorry for the late reply."
"Công việc/Học thuật","Email","I will contact you again soon."
"Du lịch","Airport","Where is the check-in counter?"
"Du lịch","Airport","Is this the line for international flights?"
"Du lịch","Airport","What time does boarding begin?"
"Du lịch","Airport","My luggage didn’t arrive."
"Du lịch","Airport","Where can I find customs?"
"Du lịch","Airport","Can I have a window seat, please?"
"Du lịch","Airport","Do I need to take off my shoes at security?"
"Du lịch","Airport","How many bags am I allowed?"
"Du lịch","Airport","Where is the gate for London?"
"Du lịch","Airport","Is my flight on time?"
"Du lịch","Hotel","I have a reservation under Smith."
"Du lịch","Hotel","What time is checkout?"
"Du lịch","Hotel","Could I have a wake-up call?"
"Du lịch","Hotel","Is breakfast included?"
"Du lịch","Hotel","Can I get an extra towel?"
"Du lịch","Hotel","Is there free WiFi here?"
"Du lịch","Hotel","Where is the swimming pool?"
"Du lịch","Hotel","Could I change my room?"
"Du lịch","Hotel","Can you recommend a good restaurant nearby?"
"Du lịch","Hotel","How do I get to the city center?"
"Du lịch","Directions","Excuse me, how do I get to the museum?"
"Du lịch","Directions","Is it within walking distance?"
"Du lịch","Directions","Could you show me on the map?"
"Du lịch","Directions","Which bus goes to the city center?"
"Du lịch","Directions","How long does it take to get there?"
"Du lịch","Directions","Is there a subway station nearby?"
"Du lịch","Directions","Can I walk there from here?"
"Du lịch","Directions","Is it far from here?"
"Du lịch","Directions","What’s the fastest way to get there?"
"Du lịch","Directions","Are there any landmarks I should look for?"
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","From my point of view, this policy is effective."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","To illustrate, consider the following example."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","On the other hand, there are clear drawbacks."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","As a result, overall productivity improved."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","In conclusion, the benefits outweigh the costs."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","It is widely believed that education is vital."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","I strongly agree with this statement."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","There are several reasons for this."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","For example, many people prefer remote work."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","However, some may disagree."
"Thi cử (IELTS/TOEFL)","Describing Trends","The graph shows a significant increase."
"Thi cử (IELTS/TOEFL)","Describing Trends","There was a gradual decline over the years."
"Thi cử (IELTS/TOEFL)","Describing Trends","The figures remained stable."
"Thi cử (IELTS/TOEFL)","Describing Trends","Sales peaked in July."
"Thi cử (IELTS/TOEFL)","Describing Trends","This trend is expected to continue."
"Thi cử (IELTS/TOEFL)","Describing Trends","The population has doubled since 2000."
"Thi cử (IELTS/TOEFL)","Describing Trends","Comparing the two charts, several differences appear."
"Thi cử (IELTS/TOEFL)","Describing Trends","Unemployment rates fell sharply last year."
"Thi cử (IELTS/TOEFL)","Describing Trends","The number of students has been rising."
"Thi cử (IELTS/TOEFL)","Describing Trends","Overall, the results are promising."

